Policy_document_id,Title,"Translated title","Document type","Source title","Source country","Source state","Source sector","Source organisation type","Source function",Published_on,"Policy citations (excl. same source)","Policy citations (inc. same source)","Document URL","Overton URL","Source specific tags","Your tags","Top topics",Languages,"Policy authors","Related to SDGs","Document theme"
vtise-cd281290e642734122db1e81568868c6,"Äldre förare av motorfordon i trafikolycka : analys av data från Strada 2010–2019","Older drivers of motor vehicles in traffic accidents : analysis of data from Strada 2010–2019",Publication,VTI,Sweden,,"Public Sector",Government,"National Body|OVSEP|Arm's Length Body|OVSEP|Research Centre|OVSEP|Policy Centre",2022-12-16,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=5742&pid=diva2%3A1720026&c=1068&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-cd281290e642734122db1e81568868c6,,,"Hybrid (biology)|Information|Knowledge",swe,,"SDG 3: Good Health and Well-being","Road traffic injuries and accidents involving older motor-vehicle drivers"
vtise-4002e07de940bc645a90fb57987f6846,"Äldre förare av motorfordon i trafikolycka : analys av data från Strada 2010–2019","Elderly drivers of motor vehicles in traffic accidents: analysis of data from Strada 2010–2019",Publication,VTI,Sweden,,"Public Sector",Government,"National Body|OVSEP|Arm's Length Body|OVSEP|Research Centre|OVSEP|Policy Centre",2022-12-16,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=-5485&pid=diva2%3A1720026&c=1274&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-4002e07de940bc645a90fb57987f6846,,,"Hybrid (biology)|Information|Knowledge",swe,,"SDG 3: Good Health and Well-being","Road traffic injuries and accidents involving older drivers"
europa-21b9a0138a47052832bfa6b72450a30c,"Transport poverty : a systematic literature review in Europe.",,Publication,"Publications Office of the European Union",EU,,"Public Sector",Government,"International Body|OVSEP|Public Data Body or Statistics|OVSEP|Archive|OVSEP|Public Service",2022-11-18,2,3,https://op.europa.eu/en/publication-detail/-/publication/0422e50e-6a35-11ed-b14f-01aa75ed71a1/language-en/format-PDF,https://app.overton.io/document.php?policy_document_id=europa-21b9a0138a47052832bfa6b72450a30c,,,"Accessibility|Active mobility|Air pollution",eng,"Joint Research Centre (European Commission)|Mejía Dorantes, L|Murauskaite-Bull, I","SDG 11: Sustainable Cities and Communities","Transport poverty in the European Union"
jointresearcheu-fe844861c32571b4f90bdc5567b7046b,"Transport Poverty: A systematic literature review in Europe",,Publication,"Joint Research Centre",EU,,"Public Sector",Government,"International Body|OVSEP|IGO Department or Agency|OVSEP|Research Centre|OVSEP|Policy Centre|OVSEP|Commission",2022-11-16,15,17,https://publications.jrc.ec.europa.eu/repository/handle/JRC129559,https://app.overton.io/document.php?policy_document_id=jointresearcheu-fe844861c32571b4f90bdc5567b7046b,"Energy and transport|Environment and climate change|Health and consumer protection",,"Accessibility|Active mobility|Air pollution",eng,"MEJÍA DORANTES Lucía|MURAUSKAITE-BULL Ingrida","SDG 11: Sustainable Cities and Communities","Transport poverty in the European Union"
stateoftennessee-5836e0a5c677dac7b4d35f33230fd429,"Using Big Data and Machine Learning to Evaluate and Rank the Performance of Traffic Signals in Tennessee",,Publication,"State of Tennessee",USA,,"Public Sector",Government,"Regional or State Level Body|OVSEP|Mixed Roles|OVSEP|Public Service",2022-10-07,0,1,https://www.tn.gov/content/dam/tn/tdot/long-range-planning/research/final-reports/res2021-final-reports/RES2021-09_Final_Report_Approved.pdf,https://app.overton.io/document.php?policy_document_id=stateoftennessee-5836e0a5c677dac7b4d35f33230fd429,,,"Cluster analysis|Computer network|Computing",eng,,,"Evaluating and ranking the performance of traffic signals in Tennessee"
wcpp-3c16e4cd72f5ad389e07a60afbc31ba1,"International review of effective anti-poverty policies and programmes",,Publication,"Wales Centre for Public Policy",UK,,"Third Sector","Think Tank","Research Centre|OVSEP|Policy Centre",2022-09-14,4,8,https://wcpp.org.uk/publication/international-review-of-effective-anti-poverty-policies-and-programmes/,https://app.overton.io/document.php?policy_document_id=wcpp-3c16e4cd72f5ad389e07a60afbc31ba1,,,"Branches of science|Carpool|Demand-responsive transport",eng,"Irene Bucelli|Abigail McKnight","SDG 1: No Poverty|SDG 10: Reduced Inequality|SDG 2: Zero Hunger|SDG 11: Sustainable Cities and Communities|SDG 4: Quality Education|SDG 7: Affordable and Clean Energy|SDG 8: Decent Work and Economic Growth","Transport disadvantage and poverty and social exclusion"
worldbank-9fd54e7c3e077cba056c31902e900c89,"Mobility and Resilience : A Global Assessment of Flood Impacts on Road Transportation Networks",,"Working paper","World Bank",IGO,,"Public Sector",IGO,"International Body|OVSEP|Financial Institution or Bank|OVSEP|Development Bank|OVSEP|Policy Centre",2022-05-18,0,2,https://openknowledge.worldbank.org/handle/10986/37452,https://app.overton.io/document.php?policy_document_id=worldbank-9fd54e7c3e077cba056c31902e900c89,,,"Africa|Asia|Climate change",eng,"He, Yiyi|Rentschler, Jun|Avner, Paolo|Gao, Jianxi|Yue, Xiangyu|Radke, John","SDG 11: Sustainable Cities and Communities|SDG 13: Climate Action","Flood impacts on road transportation networks"
worldbank-fdecb6f403fb6e9bca5170bcd8b7ca84,"Mobility and Resilience",,"Working paper","World Bank",IGO,,"Public Sector",IGO,"International Body|OVSEP|Financial Institution or Bank|OVSEP|Development Bank|OVSEP|Policy Centre",2022-05-01,0,0,https://hdl.handle.net/10986/37452,https://app.overton.io/document.php?policy_document_id=worldbank-fdecb6f403fb6e9bca5170bcd8b7ca84,,,"Africa|Asia|Climate change",eng,"He, Yiyi|Rentschler, Jun|Avner, Paolo|Gao, Jianxi|Yue, Xiangyu|Radke, John|Avner, Paolo|GGSVP Chief Economist (GGSCE)",,
worldbank-bbbc380d409ddf87620a5c5203c7a4a5,"Is a Mile for One a Mile for All? : A Knowledge Synthesis Report on Gender and Mobility (2000–20)",,Publication,"World Bank",IGO,,"Public Sector",IGO,"International Body|OVSEP|Financial Institution or Bank|OVSEP|Development Bank|OVSEP|Policy Centre",2022-04-29,0,3,https://openknowledge.worldbank.org/handle/10986/37354,https://app.overton.io/document.php?policy_document_id=worldbank-bbbc380d409ddf87620a5c5203c7a4a5,,,"Academic journal|Accessibility|Bicycle",eng,"Alam, Muneeza Mehmood|Kurshitashvili, Nato|Dominguez Gonzalez, Karla|Gonzalez Carvajal, Karla|Baruah, Bipasha","SDG 11: Sustainable Cities and Communities","Gender and mobility in transport planning"
ipeabr-a07d9ffdafe3f955bbc7be237cefb23e,Saúde,Health,Publication,"Instituto de Pesquisa Econômica Aplicada",Brazil,,"Third Sector","Think Tank","Research Centre|OVSEP|Policy Centre",2022-03-01,0,0,https://www.ipea.gov.br/portal/publicacao-item?id=b0e6cae4-2cdd-4adc-9b43-a61fdd12df90,https://app.overton.io/document.php?policy_document_id=ipeabr-a07d9ffdafe3f955bbc7be237cefb23e,,,"2014 Brazilian economic crisis|Alagoas|Bolsa Família",por,,"SDG 3: Good Health and Well-being","Brazilian Health System and COVID-19 Pandemic"
worldbank-26160fc0a96233a26311a2cccdbc1f5a,"Cox's Bazar : Inclusive Growth Diagnostic",,Publication,"World Bank",IGO,,"Public Sector",IGO,"International Body|OVSEP|Financial Institution or Bank|OVSEP|Development Bank|OVSEP|Policy Centre",2022-01-18,0,6,https://openknowledge.worldbank.org/handle/10986/36841,https://app.overton.io/document.php?policy_document_id=worldbank-26160fc0a96233a26311a2cccdbc1f5a,,,"Aid|Bandarban District|Bangladesh",eng,,"SDG 1: No Poverty|SDG 8: Decent Work and Economic Growth|SDG 9: Industry, Innovation and Infrastructure","Economic growth and development of Cox's Bazar"
worldbank-59076c053f833c48f2b9262cc81c2991,"Cox's Bazar",,Publication,"World Bank",IGO,,"Public Sector",IGO,"International Body|OVSEP|Financial Institution or Bank|OVSEP|Development Bank|OVSEP|Policy Centre",2022-01-14,0,0,https://hdl.handle.net/10986/36841,https://app.overton.io/document.php?policy_document_id=worldbank-59076c053f833c48f2b9262cc81c2991,,,"Aid|Bandarban District|Bangladesh",eng,,,
ipeabr-031c725a70ded349cfc07c4cecb604d3,"Estimativas de acessibilidade a empregos e serviços públicos via transporte ativo, público e privado nas vinte maiores cidades do Brasil no período 2017-2019","Estimates of accessibility to jobs and public services via active, public and private transport in the twenty largest cities in Brazil in the period 2017-2019",Publication,"Instituto de Pesquisa Econômica Aplicada",Brazil,,"Third Sector","Think Tank","Research Centre|OVSEP|Policy Centre",2022-01-01,0,0,https://www.ipea.gov.br/portal/publicacao-item?id=f1d4b22c-c7af-4ea7-b9e9-7e3d6d9ffdae,https://app.overton.io/document.php?policy_document_id=ipeabr-031c725a70ded349cfc07c4cecb604d3,,,"Bike path|Branches of science|Companhia Paulista de Trens Metropolitanos",por,,"SDG 11: Sustainable Cities and Communities|SDG 8: Decent Work and Economic Growth","Urban accessibility in Brazil"
ipeabr-031c725a70ded349cfc07c4cecb604d3,"Estimativas de acessibilidade a empregos e serviços públicos via transporte ativo, público e privado nas vinte maiores cidades do Brasil no período 2017-2019","Estimates of accessibility to jobs and public services via active, public and private transport in the twenty largest cities in Brazil in the period 2017-2019",Publication,"Instituto de Pesquisa Econômica Aplicada",Brazil,,"Third Sector","Think Tank","Research Centre|OVSEP|Policy Centre",2022-01-01,0,0,https://www.ipea.gov.br/portal/publicacao-item?id=f1d4b22c-c7af-4ea7-b9e9-7e3d6d9ffdae,https://app.overton.io/document.php?policy_document_id=ipeabr-031c725a70ded349cfc07c4cecb604d3,,,"Bike path|Computer network|Data",por,,"SDG 11: Sustainable Cities and Communities|SDG 8: Decent Work and Economic Growth","Accessibility in urban planning and transportation policies in Brazil"
ipeabr-923a35c2bc2749d1b5740745b32db500,"Políticas Sociais : Acompanhamento e Análise : n. 29, 2022","Social Policies: Monitoring and Analysis: n. 29, 2022",Publication,"Instituto de Pesquisa Econômica Aplicada",Brazil,,"Third Sector","Think Tank","Research Centre|OVSEP|Policy Centre",2022-01-01,0,2,https://www.ipea.gov.br/portal/publicacao-item?id=0f492f60-dc38-4101-8a23-ef72200a6d13,https://app.overton.io/document.php?policy_document_id=ipeabr-923a35c2bc2749d1b5740745b32db500,,,"2014 Brazilian economic crisis|Alagoas|Bolsa Família",por,,"SDG 1: No Poverty|SDG 3: Good Health and Well-being|SDG 2: Zero Hunger|SDG 4: Quality Education|SDG 10: Reduced Inequality|SDG 8: Decent Work and Economic Growth|SDG 5: Gender Equality|SDG 16: Peace, Justice and Strong Institutions","Brazilian government's response to the COVID-19 pandemic and its impact on the country's healthcare system"
ipeabr-923a35c2bc2749d1b5740745b32db500,"Políticas Sociais : Acompanhamento e Análise : n. 29, 2022","Social Policies: Monitoring and Analysis: n. 29, 2022",Publication,"Instituto de Pesquisa Econômica Aplicada",Brazil,,"Third Sector","Think Tank","Research Centre|OVSEP|Policy Centre",2022-01-01,0,2,https://www.ipea.gov.br/portal/publicacao-item?id=0f492f60-dc38-4101-8a23-ef72200a6d13,https://app.overton.io/document.php?policy_document_id=ipeabr-923a35c2bc2749d1b5740745b32db500,,,"2014 Brazilian economic crisis|Agriculture|Bolsa Família",por,,"SDG 1: No Poverty|SDG 8: Decent Work and Economic Growth|SDG 10: Reduced Inequality|SDG 2: Zero Hunger|SDG 4: Quality Education|SDG 3: Good Health and Well-being|SDG 5: Gender Equality|SDG 16: Peace, Justice and Strong Institutions","Social policies in Brazil during the COVID-19 pandemic"
worldbank-8c9a4b53fb8ac60bbd3b580972408a24,"Is a Mile for One a Mile for All?",,Publication,"World Bank",IGO,,"Public Sector",IGO,"International Body|OVSEP|Financial Institution or Bank|OVSEP|Development Bank|OVSEP|Policy Centre",2022-01-01,0,4,https://hdl.handle.net/10986/37354,https://app.overton.io/document.php?policy_document_id=worldbank-8c9a4b53fb8ac60bbd3b580972408a24,,,"Academic journal|Accessibility|Bicycle",eng,"Alam, Muneeza Mehmood|Kurshitashvili, Nato|Dominguez Gonzalez, Karla|Gonzalez Carvajal, Karla|Baruah, Bipasha|ITRGK - Global Knowledge (ITRGK)",,
stateofcatalunya-b2d7762f2b9af2677ad1e5605d17bdb0,"Long-term exposure to PM10 above WHO guidelines exacerbates COVID-19 severity and mortality",,"Scholarly article","Generalitat de Catalunya",Spain,,"Public Sector",Government,"Regional or State Level Body|OVSEP|Mixed Roles|OVSEP|Public Service",2021-12-10,0,0,https://scientiasalut.gencat.cat/bitstream/handle/11351/9623/long_term_exposure_pm10_above_who_guidelines_exacerbates_covid_19_severity_and_mortality_2022.pdf?sequence=1&isAllowed=y,https://app.overton.io/document.php?policy_document_id=stateofcatalunya-b2d7762f2b9af2677ad1e5605d17bdb0,,,"Air pollution|Asthma|COVID-19",eng,,"SDG 3: Good Health and Well-being","COVID-19 and air pollution"
europa-6824596dcb11599e10825d3d179e11e3,"Support study for the evaluation of Regulation (EU) N° 1315/2013 on Union guidelines for the development of the trans-European transport network . Annex to final report, Case study 5 : high-speed rail and the European long-distance passenger network.",,Publication,"Publications Office of the European Union",EU,,"Public Sector",Government,"International Body|OVSEP|Public Data Body or Statistics|OVSEP|Archive|OVSEP|Public Service",2021-11-22,0,0,https://op.europa.eu/en/publication-detail/-/publication/af63e4a5-4c1b-11ec-91ac-01aa75ed71a1/language-en/format-PDF,https://app.overton.io/document.php?policy_document_id=europa-6824596dcb11599e10825d3d179e11e3,,,AVE|Accessibility|Centrality,eng,"Directorate-General for Mobility and Transport (European Commission)|FGM-AMOR|Optimity Advisors|Tetra Tech International Development|TIS","SDG 9: Industry, Innovation and Infrastructure","Evaluation of Regulation (EU) N° 1315/2013 on Union Guidelines for the development of the trans-European transport network"
europa-ca1ed4c4d339cd66da7a0a06479ce0d0,"Support study for the evaluation of Regulation (EU) N° 1315/2013 on Union guidelines for the development of the trans-European transport network . Annex to final report, Case study 5 - Publications Office of the EU",,Publication,"Publications Office of the European Union",EU,,"Public Sector",Government,"International Body|OVSEP|Public Data Body or Statistics|OVSEP|Archive|OVSEP|Public Service",2021-11-22,0,0,https://op.europa.eu/en/publication-detail/-/publication/af63e4a5-4c1b-11ec-91ac-01aa75ed71a1/language-en,https://app.overton.io/document.php?policy_document_id=europa-ca1ed4c4d339cd66da7a0a06479ce0d0,,,AVE|Accessibility|Centrality,eng,"Directorate-General for Mobility and Transport (European Commission)|FGM-AMOR|Optimity Advisors|Tetra Tech International Development|TIS","SDG 9: Industry, Innovation and Infrastructure","High-speed rail and European long-distance passenger network"
worldbank-ccab132c87e58cd030ce24a6c433cfab,"Building an Equitable Society in Colombia",,Publication,"World Bank",IGO,,"Public Sector",IGO,"International Body|OVSEP|Financial Institution or Bank|OVSEP|Development Bank|OVSEP|Policy Centre",2021-11-10,14,18,https://openknowledge.worldbank.org/handle/10986/36535,https://app.overton.io/document.php?policy_document_id=worldbank-ccab132c87e58cd030ce24a6c433cfab,,,"Affordable housing|Afro-Colombians|Agriculture",eng,,"SDG 10: Reduced Inequality","Building an Equitable Society in Colombia"
vtise-703c856f9bc2d59e44e4d21a85b705d5,"Förändringar i transportrelaterad välfärd och myndighetsförtroende : en studie om personer som fått sitt körkort återkallat på grund av synfältsbortfall","Changes in transport-related well-being and trust in authorities: a study of people with impaired vision",Publication,VTI,Sweden,,"Public Sector",Government,"National Body|OVSEP|Arm's Length Body|OVSEP|Research Centre|OVSEP|Policy Centre",2021-10-28,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=932&pid=diva2%3A1617036&c=1392&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-703c856f9bc2d59e44e4d21a85b705d5,,,"Branches of science|Content analysis|Diabetes",swe,,,"Changes in transport-related welfare and trust in authorities"
vtise-2ff8b85b125ec60dd539dbcbb6173e6a,"Förändringar i transportrelaterad välfärd och myndighetsförtroende : en studie om personer som fått sitt körkort återkallat på grund av synfältsbortfall","Changes in transport-related well-being and trust in authorities: a study of people with impaired vision",Publication,VTI,Sweden,,"Public Sector",Government,"National Body|OVSEP|Arm's Length Body|OVSEP|Research Centre|OVSEP|Policy Centre",2021-10-28,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=-6094&pid=diva2%3A1617036&c=1476&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-2ff8b85b125ec60dd539dbcbb6173e6a,,,"Branches of science|Content analysis|Diabetes",swe,,,"Consequences of driving license withdrawal due to visual field loss"
vtise-377d1e17308f84ac76a9bc0350834dc5,"Förändringar i transportrelaterad välfärd och myndighetsförtroende : en studie om personer som fått sitt körkort återkallat på grund av synfältsbortfall","Changes in transport-related well-being and trust in authorities: a study of people with impaired vision",Publication,VTI,Sweden,,"Public Sector",Government,"National Body|OVSEP|Arm's Length Body|OVSEP|Research Centre|OVSEP|Policy Centre",2021-10-28,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=4798&pid=diva2%3A1617036&c=797&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-377d1e17308f84ac76a9bc0350834dc5,,,"Branches of science|Content analysis|Diabetes",swe,,,"Impact of driving license withdrawal on transport-related welfare and trust in authorities"
vtise-5c304a42f97c9ab9f2c4f54e57e22967,"Förändringar i transportrelaterad välfärd och myndighetsförtroende : en studie om personer som fått sitt körkort återkallat på grund av synfältsbortfall","Changes in transport-related well-being and trust in authorities: a study of people with impaired vision",Publication,VTI,Sweden,,"Public Sector",Government,"National Body|OVSEP|Arm's Length Body|OVSEP|Research Centre|OVSEP|Policy Centre",2021-10-28,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=-1416&pid=diva2%3A1617036&c=1475&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-5c304a42f97c9ab9f2c4f54e57e22967,,,"Branches of science|Content analysis|Diabetes",swe,,,"Impact of driving license withdrawal on welfare and trust in authorities"
vtise-6710d81b03ea079be2579a4df87cc9fe,"Förändringar i transportrelaterad välfärd och myndighetsförtroende : en studie om personer som fått sitt körkort återkallat på grund av synfältsbortfall","Changes in transport-related well-being and trust in authorities: a study of people with impaired vision",Publication,VTI,Sweden,,"Public Sector",Government,"National Body|OVSEP|Arm's Length Body|OVSEP|Research Centre|OVSEP|Policy Centre",2021-10-28,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=-423&pid=diva2%3A1617036&c=891&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-6710d81b03ea079be2579a4df87cc9fe,,,"Branches of science|Content analysis|Diabetes",swe,,,"Consequences of driving license withdrawal due to visual field loss"
vtise-f6f583af6ac62fc6dc9ac4ed909ec8e2,"Förändringar i transportrelaterad välfärd och myndighetsförtroende : en studie om personer som fått sitt körkort återkallat på grund av synfältsbortfall","Changes in transport-related well-being and trust in authorities: a study of people with impaired vision",Publication,VTI,Sweden,,"Public Sector",Government,"National Body|OVSEP|Arm's Length Body|OVSEP|Research Centre|OVSEP|Policy Centre",2021-10-28,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=761&pid=diva2%3A1617036&c=715&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-f6f583af6ac62fc6dc9ac4ed909ec8e2,,,"Branches of science|Content analysis|Diabetes",swe,,,"Impact of withdrawing a driving license due to visual field loss on an individual's welfare and trust in authorities"
vtise-ffb337b8feeb20f2809ad93fcb86b551,"Förändringar i transportrelaterad välfärd och myndighetsförtroende : en studie om personer som fått sitt körkort återkallat på grund av synfältsbortfall","Changes in transport-related well-being and trust in authorities: a study of people with impaired vision",Publication,VTI,Sweden,,"Public Sector",Government,"National Body|OVSEP|Arm's Length Body|OVSEP|Research Centre|OVSEP|Policy Centre",2021-10-28,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=5742&pid=diva2%3A1617036&c=1410&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-ffb337b8feeb20f2809ad93fcb86b551,,,"Branches of science|Content analysis|Diabetes",swe,,,"Impact of driving license withdrawal on transport-related welfare and trust in authorities"
vtise-69fd140344403d94ca49a37711018148,"Förändringar i transportrelaterad välfärd och myndighetsförtroende : en studie om personer som fått sitt körkort återkallat på grund av synfältsbortfall","Changes in transport-related well-being and trust in authorities: a study of people with impaired vision",Publication,VTI,Sweden,,"Public Sector",Government,"National Body|OVSEP|Arm's Length Body|OVSEP|Research Centre|OVSEP|Policy Centre",2021-10-28,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=-3417&pid=diva2%3A1617036&c=1530&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-69fd140344403d94ca49a37711018148,,,"Branches of science|Content analysis|Diabetes",swe,,,"Consequences of driving license withdrawal due to visual field loss"
vtise-c76c3275ded7749a3f6a4aecfbdb9b06,"Förändringar i transportrelaterad välfärd och myndighetsförtroende : en studie om personer som fått sitt körkort återkallat på grund av synfältsbortfall","Changes in transport-related well-being and trust in authorities: a study of people whose driving licenses have been revoked due to visual field loss",Publication,VTI,Sweden,,"Public Sector",Government,"National Body|OVSEP|Arm's Length Body|OVSEP|Research Centre|OVSEP|Policy Centre",2021-10-28,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=-5485&pid=diva2%3A1617036&c=1616&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-c76c3275ded7749a3f6a4aecfbdb9b06,,,"Branches of science|Content analysis|Diabetes",swe,,,"Driving license withdrawal and its impact on welfare and trust in authorities"
worldbank-14c08f3b32f989e9aa753da64b5e839d,"Building an Equitable Society in Colombia",,Publication,"World Bank",IGO,,"Public Sector",IGO,"International Body|OVSEP|Financial Institution or Bank|OVSEP|Development Bank|OVSEP|Policy Centre",2021-10-26,0,1,https://hdl.handle.net/10986/36535,https://app.overton.io/document.php?policy_document_id=worldbank-14c08f3b32f989e9aa753da64b5e839d,,,"Affordable housing|Afro-Colombians|Agriculture",eng,,,
vtise-d094d6fe5e0c8896bc3b6bdc0d2ab133,"Äldre bilförare : En litteraturgenomgång","Older drivers : A literature review",Publication,VTI,Sweden,,"Public Sector",Government,"National Body|OVSEP|Arm's Length Body|OVSEP|Research Centre|OVSEP|Policy Centre",2021-10-13,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=932&pid=diva2%3A1603222&c=1444&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-d094d6fe5e0c8896bc3b6bdc0d2ab133,,,"Adverse drug reaction|Cardiovascular disease|Causes of death",swe,,"SDG 3: Good Health and Well-being","Safety of older drivers in Sweden"
vtise-1d09d1f441a8983eb5018ba4338471d7,"Äldre bilförare : En litteraturgenomgång","Older drivers : A literature review",Publication,VTI,Sweden,,"Public Sector",Government,"National Body|OVSEP|Arm's Length Body|OVSEP|Research Centre|OVSEP|Policy Centre",2021-10-13,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=-423&pid=diva2%3A1603222&c=943&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-1d09d1f441a8983eb5018ba4338471d7,,,"Adverse drug reaction|Cardiovascular disease|Causes of death",swe,,"SDG 3: Good Health and Well-being","Traffic accidents and risk factors among older drivers"
vtise-906f896ed413862a9139ab5f0635c72f,"Äldre bilförare : En litteraturgenomgång","Older drivers : A literature review",Publication,VTI,Sweden,,"Public Sector",Government,"National Body|OVSEP|Arm's Length Body|OVSEP|Research Centre|OVSEP|Policy Centre",2021-10-13,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=-1416&pid=diva2%3A1603222&c=1527&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-906f896ed413862a9139ab5f0635c72f,,,"Adverse drug reaction|Cardiovascular disease|Causes of death",swe,,"SDG 3: Good Health and Well-being","Safety of older drivers in Sweden"
vtise-9ffc88cbd1f8f6b43b21afe368ce133f,"Äldre bilförare : En litteraturgenomgång","Older drivers : A literature review",Publication,VTI,Sweden,,"Public Sector",Government,"National Body|OVSEP|Arm's Length Body|OVSEP|Research Centre|OVSEP|Policy Centre",2021-10-13,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=761&pid=diva2%3A1603222&c=767&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-9ffc88cbd1f8f6b43b21afe368ce133f,,,"Adverse drug reaction|Cardiovascular disease|Causes of death",swe,,"SDG 3: Good Health and Well-being","Safety of older drivers in Sweden"
