"Subject area",Topic,"Document count","Reason highlighted"
"Science And Technology > Mathematics",Prediction,3,"seen more often than expected in this context"
"Science And Technology > Mathematics","Scientific method",3,"seen more often than expected in this context"
"Science And Technology > Mathematics","Social network",3,"seen more often than expected in this context"
"Science And Technology > Mathematics",Sociology,3,"seen more often than expected in this context"
"Science And Technology > Mathematics",Theory,3,"seen more often than expected in this context"
"Science And Technology > Mathematics","Trip distribution",3,"seen more often than expected in this context"
"Science And Technology > Mathematics",Variance,3,"seen more often than expected in this context"
"Science And Technology > Mathematics",Walkability,3,"seen more often than expected in this context"
"Science And Technology > Mathematics","Logistic regression",12,"seen more often than expected in this context"
"Science And Technology > Social Sciences > Economics","Consumption (economics)",3,"seen more often than expected in this context"
"Science And Technology > Social Sciences > Economics",Correlation,3,"seen more often than expected in this context"
"Science And Technology > Social Sciences > Economics",Immigration,3,"seen more often than expected in this context"
"Science And Technology > Social Sciences > Economics",Santiago,3,"seen more often than expected in this context"
"Science And Technology > Social Sciences > Economics","Urban planning",3,"seen more often than expected in this context"
"Science And Technology > Social Sciences > Economics","Consumption (economics)",3,"seen more often than expected in this context"
Society,"Real estate appraisal",5,"seen more often than expected in this context"
